ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR2036075,ERZ1739821,PRJEB41812,ERS1825758,ERZ1739821.1-ERZ1739821.107,,
UC_ERR1913269,ERZ1739822,PRJEB41812,ERS1647310,ERZ1739822.1-ERZ1739822.8,,
UC_ERR1474585,ERZ1739823,PRJEB41812,ERS1202883,ERZ1739823.1-ERZ1739823.6484,,
UC_ERR1297795,ERZ1739824,PRJEB41812,ERS1069668,ERZ1739824.1-ERZ1739824.677,,
UC_ERR1913226,ERZ1739825,PRJEB41812,ERS1647288,ERZ1739825.1-ERZ1739825.11,,
UC_ERR719378,ERZ1739826,PRJEB41812,ERS634967,ERZ1739826.1-ERZ1739826.758,,
UC_ERR719907,ERZ1739827,PRJEB41812,ERS634929,ERZ1739827.1-ERZ1739827.517,,
UC_ERR1474571,ERZ1739828,PRJEB41812,ERS1202869,ERZ1739828.1-ERZ1739828.3581,,
UC_SRR1045092,ERZ1739829,PRJEB41812,SRS512694,ERZ1739829.1-ERZ1739829.996,,
UC_ERR981247,ERZ1739830,PRJEB41812,ERS805755,ERZ1739830.1-ERZ1739830.798,,
UC_ERR2271237,ERZ1739831,PRJEB41812,ERS2161190,ERZ1739831.1-ERZ1739831.381,,
UC_ERR1913302,ERZ1739832,PRJEB41812,ERS1647306,ERZ1739832.1-ERZ1739832.112,,
UC_SRR2037090,ERZ1739833,PRJEB41812,SRS943649,ERZ1739833.1-ERZ1739833.3629,,
UC_ERR505096,ERZ1739834,PRJEB41812,ERS433555,ERZ1739834.1-ERZ1739834.1751,,
UC_ERR1297820,ERZ1739835,PRJEB41812,ERS1069660,ERZ1739835.1-ERZ1739835.847,,
UC_ERR1809122,ERZ1739836,PRJEB41812,ERS1509315,ERZ1739836.1-ERZ1739836.320,,
UC_ERR695636,ERZ1739837,PRJEB41812,ERS625344,ERZ1739837.1-ERZ1739837.729,,
UC_ERR695626,ERZ1739838,PRJEB41812,ERS625334,ERZ1739838.1-ERZ1739838.3867,,
UC_ERR1659119,ERZ1739839,PRJEB41812,ERS1240058,ERZ1739839.1-ERZ1739839.711,,
UC_ERR719854,ERZ1739840,PRJEB41812,ERS634928,ERZ1739840.1-ERZ1739840.712,,
UC_ERR1681527,ERZ1739841,PRJEB41812,ERS1374914,ERZ1739841.1-ERZ1739841.1925,,
UC_ERR719849,ERZ1739842,PRJEB41812,ERS634928,ERZ1739842.1-ERZ1739842.740,,
UC_ERR1022499,ERZ1739843,PRJEB41812,ERS853146,ERZ1739843.1-ERZ1739843.1617,,
UC_ERR719401,ERZ1739844,PRJEB41812,ERS634920,ERZ1739844.1-ERZ1739844.610,,
UC_ERR634978,ERZ1739845,PRJEB41812,ERS482858,ERZ1739845.1-ERZ1739845.203,,
UC_ERR1913288,ERZ1739846,PRJEB41812,ERS1647301,ERZ1739846.1-ERZ1739846.5,,
UC_ERR2014392,ERZ1739847,PRJEB41812,ERS1796517,ERZ1739847.1-ERZ1739847.201,,
UC_ERR1823613,ERZ1739848,PRJEB41812,ERS1546057,ERZ1739848.1-ERZ1739848.57,,
UC_ERR2036067,ERZ1739849,PRJEB41812,ERS1825750,ERZ1739849.1-ERZ1739849.89,,
UC_ERR505086,ERZ1739850,PRJEB41812,ERS433545,ERZ1739850.1-ERZ1739850.4946,,
UC_ERR719872,ERZ1739851,PRJEB41812,ERS634952,ERZ1739851.1-ERZ1739851.735,,
UC_ERR2036077,ERZ1739852,PRJEB41812,ERS1825760,ERZ1739852.1-ERZ1739852.136,,
UC_ERR2014387,ERZ1739853,PRJEB41812,ERS1796512,ERZ1739853.1-ERZ1739853.3,,
UC_ERR1474578,ERZ1739854,PRJEB41812,ERS1202876,ERZ1739854.1-ERZ1739854.1040,,
UC_ERR1913293,ERZ1739855,PRJEB41812,ERS1647308,ERZ1739855.1-ERZ1739855.29,,
UC_ERR1809136,ERZ1739856,PRJEB41812,ERS1509318,ERZ1739856.1-ERZ1739856.166,,
UC_ERR1297813,ERZ1739857,PRJEB41812,ERS1069682,ERZ1739857.1-ERZ1739857.646,,
UC_ERR2271042,ERZ1739858,PRJEB41812,ERS2160994,ERZ1739858.1-ERZ1739858.165,,
UC_ERR1913245,ERZ1739859,PRJEB41812,ERS1647300,ERZ1739859.1-ERZ1739859.17,,
UC_ERR1809152,ERZ1739860,PRJEB41812,ERS1509325,ERZ1739860.1-ERZ1739860.26,,
UC_ERR695609,ERZ1739861,PRJEB41812,ERS625317,ERZ1739861.1-ERZ1739861.1818,,
UC_ERR1297810,ERZ1739862,PRJEB41812,ERS1069680,ERZ1739862.1-ERZ1739862.1309,,
UC_ERR1611409,ERZ1739863,PRJEB41812,ERS1336037,ERZ1739863.1-ERZ1739863.190,,
UC_ERR719881,ERZ1739864,PRJEB41812,ERS634952,ERZ1739864.1-ERZ1739864.231,,
UC_ERR2036070,ERZ1739865,PRJEB41812,ERS1825753,ERZ1739865.1-ERZ1739865.183,,
UC_ERR695600,ERZ1739866,PRJEB41812,ERS625308,ERZ1739866.1-ERZ1739866.2104,,
UC_SRR1045097,ERZ1739867,PRJEB41812,SRS512699,ERZ1739867.1-ERZ1739867.1482,,
UC_ERR2014379,ERZ1739868,PRJEB41812,ERS1796504,ERZ1739868.1-ERZ1739868.6,,
UC_ERR695633,ERZ1739869,PRJEB41812,ERS625341,ERZ1739869.1-ERZ1739869.1621,,
UC_ERR1809130,ERZ1739870,PRJEB41812,ERS1509317,ERZ1739870.1-ERZ1739870.213,,
UC_ERR2014357,ERZ1739871,PRJEB41812,ERS1796482,ERZ1739871.1-ERZ1739871.4,,
UC_ERR1913227,ERZ1739872,PRJEB41812,ERS1647288,ERZ1739872.1-ERZ1739872.14,,
UC_ERR1297828,ERZ1739873,PRJEB41812,ERS1069663,ERZ1739873.1-ERZ1739873.453,,
UC_ERR2014374,ERZ1739874,PRJEB41812,ERS1796499,ERZ1739874.1-ERZ1739874.250,,
