BioProject,SRARunID,Microbiome,Number_of_unknown_contigs,Proportion_of_unknown_contigs,Number_of_unknown_bases,Proportion_of_unknown_bases
PRJEB1775,ERR262953,Fecal,93,0.22,37438,0.1
PRJEB1775,ERR262955,Fecal,0,0.0,0,0.0
PRJEB1775,ERR260488,Fecal,155,0.15,60388,0.07
PRJEB1775,ERR262957,Fecal,9,0.32,2933,0.24
PRJEB1775,ERR262941,Fecal,62,0.12,25006,0.03
PRJEB1775,ERR260504,Fecal,88,0.13,34234,0.07
PRJEB1775,ERR262944,Fecal,6,0.08,2538,0.03
PRJEB1775,ERR260479,Fecal,35,0.08,14621,0.03
PRJEB1775,ERR262938,Fecal,5,0.07,1702,0.05
PRJEB1775,ERR260490,Fecal,1,0.01,394,0.01
PRJEB1775,ERR262942,Fecal,95,0.14,38256,0.04
PRJEB1775,ERR260492,Fecal,62,0.16,23607,0.06
PRJEB1775,ERR260478,Fecal,2,0.02,762,0.01
PRJEB1775,ERR262954,Fecal,53,0.12,19892,0.06
PRJEB1775,ERR260505,Fecal,0,0.0,0,0.0
PRJEB1775,ERR260480,Fecal,0,0.0,0,0.0
PRJEB1775,ERR260482,Fecal,113,0.16,44912,0.06
PRJEB1775,ERR260485,Fecal,2,0.06,693,0.05
PRJEB1775,ERR260500,Fecal,0,0.0,0,0.0
PRJEB1775,ERR260499,Fecal,80,0.12,32662,0.06
PRJEB1775,ERR260481,Fecal,142,0.11,58412,0.05
PRJEB1775,ERR262959,Fecal,0,0.0,0,0.0
PRJEB1775,ERR262956,Fecal,105,0.21,39416,0.1
PRJEB1775,ERR262951,Fecal,117,0.12,50576,0.05
PRJEB1775,ERR262958,Fecal,73,0.13,27856,0.05
PRJEB1775,ERR262939,Fecal,27,0.11,10855,0.06
PRJEB1775,ERR260497,Fecal,61,0.12,22845,0.05
PRJEB1775,ERR260498,Fecal,105,0.14,42423,0.06
PRJEB1775,ERR260496,Fecal,10,0.19,3831,0.07
PRJEB1775,ERR262949,Fecal,4,0.06,1875,0.02
PRJEB1775,ERR260502,Fecal,111,0.12,44484,0.05
PRJEB1775,ERR260495,Fecal,144,0.12,61330,0.06
PRJEB1775,ERR260503,Fecal,68,0.11,26676,0.03
PRJEB1775,ERR262947,Fecal,41,0.09,16957,0.03
PRJEB1775,ERR262950,Fecal,4,0.05,2242,0.05
PRJEB1775,ERR260506,Fecal,4,0.09,1389,0.07
PRJEB1775,ERR260491,Fecal,1,0.01,376,0.0
PRJEB1775,ERR260486,Fecal,83,0.1,33158,0.05
PRJEB6045,ERR472949,Human,9851,11.94,4471389,8.82
